concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
41951626,41930932,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42075936,42056318,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3046384,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42059444,42055680,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41905185,41899248,Is a,01/01/1970,31/12/2099,,concept_relationship,0
723467,3967326,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42035986,42035304,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41930863,41929027,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3052895,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42054692,42046252,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40768113,36207527,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3968278,43055381,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3024121,37050395,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41950016,41931085,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37072244,40772542,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40765294,45875968,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41918262,41915525,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3017164,36206976,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41923537,41921634,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40771937,45876104,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37032642,37023216,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37021314,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42028484,42018747,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41994675,41989557,Is a,01/01/1970,31/12/2099,,concept_relationship,0
21490930,37063980,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42034354,42033955,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41887738,41881488,Is a,01/01/1970,31/12/2099,,concept_relationship,0
21493541,37072189,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41945938,41929425,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3043032,45876000,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37032812,40786065,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1618715,40779203,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37023702,40776245,Is a,01/01/1970,31/12/2099,,concept_relationship,0
21493398,37067788,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41973944,41961102,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42033464,42022173,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42071957,42055555,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42023884,42019561,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41891432,41890647,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41886179,41881492,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41927864,41925084,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3033170,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37066940,40775995,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37055674,40775895,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37067033,40776114,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37044031,40789711,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42016758,42003783,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3029726,45875999,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41984453,41977902,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41993276,41974874,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42023045,42018660,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3029104,37066730,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3051871,37022551,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41904420,41893052,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3023549,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37053191,40779378,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1989101,45876126,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41898974,41893108,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42042062,42035304,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3050360,45876016,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41996328,41987557,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3023294,37024869,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42000448,41987279,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42082373,42054565,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36034141,36033886,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41956990,41930470,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3038075,37025668,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37057457,40786424,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3048978,37067801,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41999630,41987340,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37068300,40791216,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3965342,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40761563,45876009,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42074589,42056322,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41962398,41929590,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3016867,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36660142,45876016,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1619363,40785138,Is a,01/01/1970,31/12/2099,,concept_relationship,0
43533951,37046174,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3001821,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41899626,41894085,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41961894,41930528,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3003691,45876005,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3044538,45876000,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41981358,41971422,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3028381,37025125,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37071380,37066685,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41983554,41972631,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3966701,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1988948,36210656,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3032867,36208195,Is a,01/01/1970,31/12/2099,,concept_relationship,0
36034290,40786330,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40771337,1003009,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41979798,41971993,Is a,01/01/1970,31/12/2099,,concept_relationship,0
41963270,41970205,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37033278,37057648,Is a,01/01/1970,31/12/2099,,concept_relationship,0
1003728,1012952,Is a,01/01/1970,31/12/2099,,concept_relationship,0
40786241,40792791,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3030016,45875996,Is a,01/01/1970,31/12/2099,,concept_relationship,0
37070054,37071225,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42083417,42046563,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3039458,45876094,Is a,01/01/1970,31/12/2099,,concept_relationship,0
42003645,41995352,Is a,01/01/1970,31/12/2099,,concept_relationship,0
3039493,45876016,Is a,01/01/1970,31/12/2099,,concept_relationship,0
