drug_concept_id,ingredient_concept_id,amount_value,amount_unit_concept_id,numerator_value,numerator_unit_concept_id,denominator_value,denominator_unit_concept_id,box_size,valid_start_date,valid_end_date,invalid_reason,load_table_id,load_row_id
43203953,1326901,,,40,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
43193435,1344143,,,40,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
36937722,902616,,,40,8576,,8587,,22/05/2023,31/12/2099,,drug_strength,0
40735931,908464,,,46,8576,,8587,,04/06/2018,31/12/2099,,drug_strength,0
589627,40241606,,,50,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
36967383,1713332,,,50,8576,,8587,,22/05/2023,31/12/2099,,drug_strength,0
40921068,19126894,,,50,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
19116123,1836430,,,80,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
40972951,19071835,,,100,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
19087689,1836503,,,100,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
40890379,1436776,,,100,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42710437,19068028,,,100,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
1758609,35201793,,,100,8576,,8587,,03/12/2018,31/12/2099,,drug_strength,0
19114529,1036252,,,100,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
19122075,1036252,,,100,8576,,8587,,01/01/1970,31/12/2099,,drug_strength,0
41100324,42898418,,,200,8576,,8587,,02/08/2018,31/12/2099,,drug_strength,0
42925733,535714,,,200,8510,,8587,,21/08/2018,31/12/2099,,drug_strength,0
2074002,990499,,,480,8576,,8587,,31/07/2020,31/12/2099,,drug_strength,0
42716470,1036690,,,0.125,8576,,8576,,02/08/2018,31/12/2099,,drug_strength,0
40237812,1105889,,,0.25,8576,,8587,,04/07/2010,31/12/2099,,drug_strength,0
40720808,914244,,,0.25,8576,,8576,,04/06/2018,31/12/2099,,drug_strength,0
