concept_id,concept_synonym_name,language_concept_id,load_table_id,load_row_id
42007526,霞ヶ関,4181524,concept_synonym,0
42007137,須崎市,4181524,concept_synonym,0
41999445,飯石郡,4181524,concept_synonym,0
42002158,館山市,4181524,concept_synonym,0
42007756,高免町,4181524,concept_synonym,0
42007182,高取町,4181524,concept_synonym,0
41999765,高市郡,4181524,concept_synonym,0
42007204,高森町,4181524,concept_synonym,0
42007076,高知市,4181524,concept_synonym,0
42000607,鴨川市,4181524,concept_synonym,0
42007985,鷹司町,4181524,concept_synonym,0
42007176,鷹栖町,4181524,concept_synonym,0
42006852,鹿角町,4181524,concept_synonym,0
42001980,鹿部町,4181524,concept_synonym,0
42000971,黒潮町,4181524,concept_synonym,0
42002977,三崎町3,4181524,concept_synonym,0
42009065,上之町2,4181524,concept_synonym,0
42005576,仙遊町1,4181524,concept_synonym,0
42009045,勝どき3,4181524,concept_synonym,0
42004549,南池袋3,4181524,concept_synonym,0
42008955,城東町1,4181524,concept_synonym,0
42005944,城東町1,4181524,concept_synonym,0
42009020,城東町2,4181524,concept_synonym,0
42008953,城西町1,4181524,concept_synonym,0
42009058,塩上町2,4181524,concept_synonym,0
42009131,塩屋町5,4181524,concept_synonym,0
42008402,大手町1,4181524,concept_synonym,0
42005941,岩本町3,4181524,concept_synonym,0
42009012,文京町2,4181524,concept_synonym,0
42008363,東神田2,4181524,concept_synonym,0
42008926,永田町1,4181524,concept_synonym,0
42006428,津島中3,4181524,concept_synonym,0
42008978,福岡町1,4181524,concept_synonym,0
42009109,福岡町4,4181524,concept_synonym,0
42009052,花園町2,4181524,concept_synonym,0
42009040,西神田3,4181524,concept_synonym,0
42000423,いすみ市,4181524,concept_synonym,0
42000375,いなべ市,4181524,concept_synonym,0
42001598,おおい町,4181524,concept_synonym,0
42000512,かほく市,4181524,concept_synonym,0
42007904,さちが丘,4181524,concept_synonym,0
42007096,みやき町,4181524,concept_synonym,0
42007109,むかわ町,4181524,concept_synonym,0
42001964,七ヶ宿町,4181524,concept_synonym,0
42000580,上ノ国町,4181524,concept_synonym,0
42007695,上吉田町,4181524,concept_synonym,0
